year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,stock_year_change,close_on_up
2010,,620428571.4,0.3143,,,,,14428571.4,,1030000000.0,139000000.0,1169000000.0,293000000.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.750253,0.592199,0.522796,0.521783,0.30699099999999996,0.24974699999999997,0.069909,0.072948,0.22745700000000002,0.60119,0.978641,0.39881,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.382253,,,,,,,,,,,,,,46.8182,28.2013,33.5,14.8831,31.7273,18.4091,,,,,,,620428571.4,0.3143,0.510638,0.0,0.0
2011,0.8799389999999999,1035988200.6,0.279167,1668000000.0,2.2248,,,35988200.6,-3231000000.0,1737000000.0,323000000.0,2060000000.0,606000000.0,76000000.0,3984000000.0,3705000000.0,677000000.0,398000000.0,-3231000000.0,5576000000.0,2.8408,2.7334,,,,,,,0.0,,,,,,,,,0.7621899999999999,0.686408,0.669794,0.650165,0.642857,1.219198,,,,,,,,,,,,0.768257,0.555106,0.473188,0.46806800000000004,0.269469,0.23174299999999998,0.084613,0.104554,0.295069,0.589971,0.97582,0.410029,0.5862,6.7843,,2.5159,13.6508,53.8009,0.0,26.7384,27.0625,-0.6595,1.2923,1.2611,0.0812,0.1382,0.621096,-0.011138,0.632234,-0.416973,0.204123,,0.274364,0.157953,0.12553599999999998,0.178499,0.0,0.0,2.556106,0.050036000000000004,0.071377,0.12141300000000001,0.110294,0.0,0.768293,0.3286,-1.5684,0.1932,0.6535,-3.1188,0.3842,,41.3571,24.6664,26.9286,10.2378,36.881,22.4524,,5.1212,4.9555,0.02048,1.0735649999999999,0.998383,1035988200.6,0.279167,0.45675,0.0,0.0
2012,0.37132800000000005,57720647.8,0.011342,4485000000.0,1.6542,2817000000.0,-2759279352.2,4720647.8,-7270000000.0,494000000.0,649000000.0,1143000000.0,1235000000.0,954000000.0,10580000000.0,10215000000.0,2356000000.0,1991000000.0,-7270000000.0,14111000000.0,5.4271,4.7862,57658270200.0,50388270200.0,4.905,5.5617,11.33,1801.8209,0.0,0.0005549999999999999,11.2348,9.9014,44.0842,102.0005,872.9679,31.2582,,-0.445146,-0.7156020000000001,-0.944284,-0.9470000000000001,-0.978261,0.040671,,1.6888490000000003,,,,,,,0.11866800000000001,,,0.731971,0.224602,0.105718,0.097072,0.010415,0.268029,0.17528,0.274907,0.626253,0.107287,1.0,0.8927129999999999,0.4749,8.0395,,2.6327,9.1852,45.4009,0.0,39.7379,5.662999999999999,-0.6305,1.287,1.287,0.1694,0.2004,0.018762,-0.0008990000000000001,0.019661,-0.012397,0.006365,-0.8968889999999999,0.046095,0.004945000000000001,0.036927999999999996,0.00613,0.0,0.0,1.3052629999999998,0.025866000000000004,0.141096,0.166962,0.0,0.0,0.833038,2.0612,-6.3605,1.7419,40.8173,-125.9515,34.4937,11.7433,,,,,,,,10.7101,9.8337,0.18746300000000002,2.078994,2.007271,376600000.0,0.074003,0.097072,-0.3669512485136741,0.41935483870967744
2013,0.546866,1527233115.5,0.19400799999999999,4497000000.0,1.7528,12000000.0,1515233115.5,27233115.5,-10973000000.0,2754000000.0,1011000000.0,3765000000.0,1362000000.0,760000000.0,12209000000.0,11970000000.0,476000000.0,237000000.0,-10973000000.0,15946000000.0,6.1462,5.4621,137551533000.0,126578533000.0,8.8915,10.0052,17.4735,92.2545,0.0,0.01084,28.1473,16.0796,33.6198,45.9617,82.881,29.9807,83.5373,2.293963,4.574898999999999,25.459042999999998,27.301887,59.0,1.619107,1.5491409999999999,0.002676,0.145518,0.23200300000000001,0.314558,0.42361899999999997,0.44092200000000004,0.46341499999999997,0.149782,,0.047031,0.761814,0.47827700000000006,0.356199,0.349848,0.190549,0.238186,0.099212,0.179751,0.405615,0.544662,1.0,0.455338,0.4771,8.6127,,2.9858,7.4701,42.3793,0.0,48.8613,-6.482,-0.6701,1.212,1.212,0.0153,0.0308,0.340065,-0.002986,0.343051,-0.229872,0.11019300000000001,0.337393,0.166919,0.090915,0.0,0.11019300000000001,0.0,0.0,3.099853,0.014988,0.014863,0.029851,0.0,0.0,0.9701489999999999,0.1264,-2.9145,0.0629,0.3117,-7.1849,0.1552,36.031,,,,,,,,11.8818,11.4164,0.096545,1.55094,1.5205790000000001,1527233115.5,0.19400799999999999,0.349848,0.9915816326530609,0.5198412698412699
2014,0.583587,2990297352.3,0.23987600000000003,25130000000.0,0.8415,20633000000.0,-17642702647.7,50297352.3,-10966000000.0,4910000000.0,1243000000.0,6153000000.0,1831000000.0,881000000.0,12080000000.0,11966000000.0,233000000.0,119000000.0,-10966000000.0,36329000000.0,13.5495,5.3251,207845280000.0,196879280000.0,5.7581,14.6514,16.673,71.0582,0.0,0.014072999999999999,7.8344,15.7933,31.9973,40.0976,65.8394,26.874000000000002,,0.634263,0.7828609999999999,0.9579840000000001,0.96,0.833333,0.735197,-12.643557000000001,4.58817,0.11303599999999998,0.023622999999999998,-0.00345,0.06791799999999999,0.064446,0.037736,0.435064,-102.246001,2.458574,0.82729,0.493583,0.40060999999999997,0.393871,0.235841,0.17271,0.078052,0.213862,0.42668100000000003,0.5987779999999999,1.0,0.40122199999999997,0.4309,8.9458,,3.6402,6.6656,40.8012,0.0,54.7585,-13.9573,-0.4255,1.1221,1.1221,0.0033,0.0065,0.20186300000000001,-0.0045850000000000005,0.206448,-0.08783400000000001,0.11402899999999999,-1.190988,0.169717,0.101623,0.0,0.11402899999999999,0.0,0.0,4.001092,0.0031379999999999997,0.003276,0.006414,0.0,0.0,0.9935860000000001,0.0379,-1.7822,0.0193,0.0779,-3.6672,0.0398,33.5143,,,,,,,,9.4031,9.0428,0.070672,0.969036,0.9598909999999999,2990297352.3,0.23987600000000003,0.393871,0.4229436439905161,0.5119047619047619
2015,0.43815200000000004,3706457862.4,0.20674099999999998,25898000000.0,0.7027,768000000.0,2938457862.4,18457862.4,-18320000000.0,6194000000.0,1945000000.0,8139000000.0,2523000000.0,1300000000.0,19734000000.0,19727000000.0,114000000.0,107000000.0,-18320000000.0,44332000000.0,15.4988,8.0428,298594980000.0,280274980000.0,6.7528,13.0129,16.6552,81.3832,0.0,0.012288,10.8223,15.6334,34.436,45.2494,75.618,27.1584,95.3817,0.32276900000000003,0.261507,0.23949499999999999,0.254422,0.172727,0.408681,1.166554,0.030561,0.124929,0.23599099999999998,0.304,0.29778699999999997,0.304102,0.30303,0.11882000000000001,1.188483,0.007234,0.840083,0.45398299999999997,0.347222,0.345493,0.20571199999999998,0.159917,0.072233,0.26863000000000004,0.49286,0.5954149999999999,1.0,0.404585,0.4012,8.4626,,3.7141,7.2491,43.131,0.0,50.3514,-7.2204,-0.3646,1.1128,1.1128,0.0024,0.0026,0.145272,-0.001261,0.146532,-0.05343200000000001,0.09183999999999999,0.11517000000000001,0.13860999999999998,0.082531,0.0,0.09183999999999999,0.0,0.0,4.090369,0.00015800000000000002,0.002414,0.002572,0.0,0.0,0.9974280000000001,0.013999999999999999,-2.2509,0.0131,0.0308,-4.9427,0.0289,36.0593,,,,,,,,11.2478,10.9055,0.07251200000000001,1.1007360000000002,1.1003459999999998,3706457862.4,0.20674099999999998,0.345493,0.3318910664291168,0.5079365079365079
2016,0.541611,10142727192.8,0.366985,29745000000.0,0.9934,3847000000.0,6295727192.799999,-74272807.2,-29449000000.0,12518000000.0,2342000000.0,14860000000.0,4491000000.0,2077000000.0,31526000000.0,31526000000.0,0.0,0.0,-29449000000.0,59194000000.0,20.2373,13.175,336521250000.0,307072250000.0,5.6851,8.7324,12.175999999999998,33.0311,0.0,0.030274000000000002,10.3235,11.1105,20.6644,24.5305,30.2751,19.0633,48.7747,0.8257770000000001,1.020988,1.7365009999999999,1.7703360000000001,1.7054259999999999,0.5608529999999999,1.142528,0.148544,0.12026300000000001,0.15985,0.187553,0.24979,0.24461,0.23321599999999998,0.024291,0.075724,0.06327100000000001,0.862906,0.537666,0.44963500000000006,0.452927,0.369672,0.137094,0.06263099999999999,0.214162,0.41327200000000003,0.816185,1.0,0.183815,0.4833,8.4365,,3.8714,7.6161,43.2643,0.0,47.9249,-4.6606,-0.4619,1.1059,1.1059,0.0,0.0,0.364564,0.0031100000000000004,0.361455,-0.166966,0.197598,0.22629000000000002,0.21890700000000002,0.178669,0.0,0.197598,0.0,0.0,3.586729,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1225,,,,,,,,11.9656,11.632,0.07515,1.140676,1.140676,10142727192.8,0.366985,0.452927,0.12849435998038247,0.4880952380952381
2017,0.47091000000000005,15631475284.1,0.38451,32636000000.0,1.3034,2891000000.0,12740475284.1,-302524715.9,-41711000000.0,20594000000.0,3025000000.0,23619000000.0,6733000000.0,3092000000.0,44803000000.0,44803000000.0,0.0,0.0,-41711000000.0,74347000000.0,25.1512,18.3498,521615760000.0,479904760000.0,7.016,9.6165,12.8309,32.7648,0.0,0.030521,14.7048,11.8049,20.3186,23.3031,30.7012,19.8177,37.6677,0.589435,0.645151,0.541151,0.559558,0.544413,0.503352,1.02367,0.097193,0.11408599999999999,0.15485,0.165742,0.04082,0.04595,0.044574,0.127637,0.264637,-0.008597,0.8658399999999999,0.58099,0.496962,0.50658,0.39195100000000005,0.13416,0.061914,0.190736,0.36887800000000004,0.773721,1.0,0.226279,0.5439,8.2754,,3.6439999999999997,8.068,44.1065,0.0,45.2402,-1.1337,-0.5329,1.1194,1.1194,0.0,0.0,0.501161,0.008503,0.492659,-0.262523,0.23863800000000002,0.408473,0.275533,0.21318499999999999,0.0,0.23863800000000002,0.0,0.12401199999999998,3.5966139999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2367,,,,,,,,12.9157,12.6444,0.076058,1.102083,1.102083,15631475284.1,0.38451,0.50658,0.5208135826941309,0.5219123505976095
