date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-05-01,168.447966406085,1.0,168.54758081555,164.632734523558,165.768538020283,53569376.0,169.1,0.0,169.2,165.27,166.4102,1.0,53569376.0
2018-04-30,164.622773082611,1.0,166.615061271921,161.215960278893,161.505041295162,42427424.0,165.26,0.0,167.26,161.84,162.1302,1.0,42427424.0
2018-04-27,161.694109444327,1.0,163.696359074583,160.010625924361,163.367631523347,35655839.0,162.32,0.0,164.33,160.63,164.0,1.0,35655839.0
2018-04-26,163.586783224171,1.0,165.090960807099,162.740060743714,163.487168814705,27963014.0,164.22,0.0,165.73,163.37,164.12,1.0,27963014.0
2018-04-25,163.018981090218,1.0,164.782156137756,161.783762412846,161.992952672723,28382084.0,163.65,0.0,165.42,162.41,162.62,1.0,28382084.0
2018-04-24,162.311718783013,1.0,165.688647263892,160.598450554617,165.03119216142,33692017.0,162.94,0.0,166.33,161.2201,165.67,1.0,33692017.0
2018-04-23,164.602850200718,1.0,166.276372279738,163.457284491866,166.191500802873,36515477.0,165.24,0.0,166.92,164.09,166.8348,1.0,36515477.0
2018-04-20,165.080999366153,1.0,170.558198056201,164.792117578703,169.937201827593,65491140.0,165.72,0.0,171.2184,165.43,170.595,1.0,65491140.0
2018-04-19,172.133699556307,1.0,174.713712761462,171.994239383055,174.275409359814,34808800.0,172.8,0.0,175.39,172.66,174.95,1.0,34808800.0
2018-04-18,177.154265793366,1.0,178.130487006127,176.197967462497,177.124381470526,20754538.0,177.84,0.0,178.82,176.88,177.81,1.0,20754538.0
2018-04-17,177.552723431228,1.0,178.246537793154,175.72977973801,175.809471265582,26605442.0,178.24,0.0,178.9365,176.41,176.49,1.0,26605442.0
2018-04-16,175.142054722164,1.0,175.510628037186,174.155971682865,174.355200501796,21578420.0,175.82,0.0,176.19,174.8301,175.0301,1.0,21578420.0
2018-04-13,174.05625765899,1.0,175.161977604057,173.179650855694,174.106064863723,25124255.0,174.73,0.0,175.84,173.85,174.78,1.0,25124255.0
2018-04-12,173.468532643144,1.0,174.325216564547,172.372774139024,172.741347454046,22889285.0,174.14,0.0,175.0,173.04,173.41,1.0,22889285.0
2018-04-11,171.775087682231,1.0,173.252568603423,171.037941052187,171.565897422354,22431640.0,172.44,0.0,173.9232,171.7,172.23,1.0,22431640.0
2018-04-10,172.581964398901,1.0,173.329072469892,170.868596556096,172.332928375238,28614241.0,173.25,0.0,174.0,171.53,173.0,1.0,28614241.0
2018-04-09,169.394303296007,1.0,172.422581343757,169.190093756603,169.224958799915,29017718.0,170.05,0.0,173.09,169.845,169.88,1.0,29017718.0
2018-04-06,167.730742657934,1.0,171.814933446017,167.551436720896,170.310755863089,35005290.0,168.38,0.0,172.48,168.2,170.97,1.0,35005290.0
2018-04-05,172.133699556307,1.0,173.558584069301,171.416475808156,171.914547855483,26933197.0,172.8,0.0,174.2304,172.08,172.58,1.0,26933197.0
2018-04-04,170.948288083668,1.0,171.34674572153,164.134662476231,164.244238326643,34605489.0,171.61,0.0,172.01,164.77,164.88,1.0,34605489.0
2018-04-03,167.74070409888,1.0,168.09483332453,164.244238326643,166.993596027889,30278046.0,168.39,0.0,168.7455,164.88,167.64,1.0,30278046.0
2018-04-02,166.037297697021,1.0,168.28858335094,163.835819247834,167.232670610606,37586791.0,166.68,0.0,168.94,164.47,167.88,1.0,37586791.0
2018-03-29,167.133056201141,1.0,171.08774825692,166.256449397845,167.157959803507,38398505.0,167.78,0.0,171.75,166.9,167.805,1.0,38398505.0
2018-03-28,165.83806887809,1.0,169.364418973167,164.553042995986,166.605099830974,41668545.0,166.48,0.0,170.02,165.19,167.25,1.0,41668545.0
2018-03-27,167.690896894147,1.0,174.474638178745,166.276372279738,173.010306359603,40922579.0,168.34,0.0,175.15,166.92,173.68,1.0,40922579.0
2018-03-26,172.103815233467,1.0,172.432542784703,165.798223114304,167.421937988591,37541236.0,172.77,0.0,173.1,166.44,168.07,1.0,37541236.0
2018-03-23,164.304006972322,1.0,169.264804563702,164.304006972322,167.74070409888,41028784.0,164.94,0.0,169.92,164.94,168.39,1.0,41028784.0
2018-03-22,168.198930382421,1.0,172.014162264948,167.949894358758,169.344496091274,41490767.0,168.85,0.0,172.68,168.6,170.0,1.0,41490767.0
2018-03-21,170.609599091485,1.0,174.414869533066,170.599637650539,174.365062328333,37054935.0,171.27,0.0,175.09,171.26,175.04,1.0,37054935.0
2018-03-20,174.564291147264,1.0,176.118275934925,174.265447918868,174.564291147264,19649350.0,175.24,0.0,176.8,174.94,175.24,1.0,19649350.0
2018-03-19,174.624059792943,1.0,176.785692478344,172.99038347771,176.636270864145,33446771.0,175.3,0.0,177.47,173.66,177.32,1.0,33446771.0
